한자,후리가나,의미,JLPT,품사,태그
体,からだ,몸,N5,명사,신체
借りる,かりる,빌리다,N5,동사,동작
軽い,かるい,가볍다,N5,형용사,상태
カレンダー,かれんだー,달력,N5,명사,생활
川,かわ,강,N5,명사,자연
漢字,かんじ,한자,N5,명사,언어
木,き,나무,N5,명사,자연
黄色い,きいろい,노랗다,N5,형용사,색상
消える,きえる,사라지다,N5,동사,상태
聞く,きく,듣다,N5,동사,감각
北,きた,북쪽,N5,명사,방위
汚い,きたない,더럽다,N5,형용사,상태
喫茶店,きっさてん,찻집/카페,N5,명사,장소
切手,きって,우표,N5,명사,생활
切符,きっぷ,표,N5,명사,교통
昨日,きのう,어제,N5,명사,시간
来る,くる,오다,N5,동사,이동
車,くるま,자동차,N5,명사,교통
黒い,くろい,검다,N5,형용사,색상
警官,けいかん,경찰관,N5,명사,직업
今朝,けさ,오늘 아침,N5,명사,시간
消す,けす,(불을) 끄다,N5,동사,동작
結構,けっこう,충분함/괜찮음,N5,형용사,상태
結婚,けっこん,결혼,N5,명사,인생
月曜日,げつようび,월요일,N5,명사,시간
玄関,げんかん,현관,N5,명사,장소
元気,げんき,건강/기운,N5,형용사,상태
公園,こうえん,공원,N5,명사,장소
交番,こうばん,파출소,N5,명사,시설
声,こえ,목소리,N5,명사,감각
コート,こーと,코트,N5,명사,의류
コーヒー,こーひー,커피,N5,명사,음식
午後,ごご,오후,N5,명사,시간
午前,ごぜん,오전,N5,명사,시간
答える,こたえる,대답하다,N5,동사,소통
今年,ことし,올해,N5,명사,시간
子供,こども,아이,N5,명사,사람
御飯,ごはん,밥,N5,명사,음식
困る,こまる,곤란하다,N5,동사,감정
今月,こんげつ,이번 달,N5,명사,시간
今週,こんしゅう,이번 주,N5,명사,시간
今晩,こんばん,오늘 밤,N5,명사,시간
財布,さいふ,지갑,N5,명사,생활
魚,さかな,물고기,N5,명사,동물
咲く,さく,피다,N5,동사,자연
作文,さくぶん,작문,N5,명사,교육
雑誌,ざっし,잡지,N5,명사,도서
砂糖,さとう,설탕,N5,명사,조미료
寒い,さむい,춥다,N5,형용사,날씨
散歩,さんぽ,산책,N5,명사,일상
塩,しお,소금,N5,명사,조미료
仕事,しごと,일/직업,N5,명사,경제
辞書,じしょ,사전,N5,명사,도서
静か,しずか,조용함,N5,형용사,상태
質問,しつもん,질문,N5,명사,교육
自転車,じてんしゃ,자전거,N5,명사,교통
自動車,じどうしゃ,자동차,N5,명사,교통
死ぬ,しぬ,죽다,N5,동사,인생
自分,じぶん,자신,N5,명사,사람
閉まる,しまる,닫히다,N5,동사,상태
閉める,しめる,닫다,N5,동사,동작
写真,しゃしん,사진,N5,명사,예술
シャツ,しゃつ,셔츠,N5,명사,의류
授業,じゅぎょう,수업,N5,명사,교육
宿題,しゅくだい,숙제,N5,명사,교육
上手,じょうず,능숙함,N5,형용사,상태
食堂,しょくどう,식당,N5,명사,장소
知る,しる,알다,N5,동사,정신
白い,しろい,하얗다,N5,형용사,색상
新聞,しんぶん,신문,N5,명사,매체
水曜日,すいようび,수요일,N5,명사,시간
吸う,すう,피우다/들이마시다,N5,동사,동작
好き,すき,좋아함,N5,형용사,감정
少ない,すくない,적다,N5,형용사,수량
少し,すこし,조금,N5,부사,수량
涼しい,すずしい,시원하다,N5,형용사,날씨
座る,すわる,앉다,N5,동사,동작
背,せ,키,N5,명사,신체
生徒,せいと,학생,N5,명사,교육
石鹸,せっけん,비누,N5,명사,생활
狭い,せまい,좁다,N5,형용사,상태
洗濯,せんたく,세탁,N5,명사,가사
全部,ぜんぶ,전부,N5,명사,수량
掃除,そうじ,청소,N5,명사,가사
空,そら,하늘,N5,명사,자연
大切,たいせつ,소중함,N5,형용사,상태
台所,だいどころ,부엌,N5,명사,장소
大変,たいへん,힘들다/매우,N5,형용사,상태
高い,たかい,높다/비싸다,N5,형용사,상태
出す,だす,꺼내다/내다,N5,동사,동작
立つ,たつ,서다,N5,동사,동작
建物,たてもの,건물,N5,명사,장소
楽しい,たのしい,즐겁다,N5,형용사,감정
頼む,たのむ,부탁하다,N5,동사,소통
食べ物,たべもの,음식,N5,명사,음식
食べる,たべる,먹다,N5,동사,동작
卵,たまご,계란,N5,명사,음식
誕生日,たんじょうび,생일,N5,명사,시간
小さい,ちいさい,작다,N5,형용사,상태
近い,ちかい,가깝다,N5,형용사,거리
地下鉄,ちかてつ,지하철,N5,명사,교통
地図,ちず,지도,N5,명사,생활
茶色い,ちゃいろい,갈색이다,N5,형용사,색상
使う,つかう,사용하다,N5,동사,동작
疲れる,つかれる,피곤하다,N5,동사,상태
着く,つく,도착하다,N5,동사,이동
机,つくえ,책상,N5,명사,가구
作る,つくる,만들다,N5,동사,동작
強い,つよい,강하다,N5,형용사,상태
手,て,손,N5,명사,신체
出口,でぐち,출구,N5,명사,장소
手紙,てがみ,편지,N5,명사,소통
出る,でる,나가다/나오다,N5,동사,이동
電気,でんき,전기/전등,N5,명사,가전
電車,でんしゃ,전차/기차,N5,명사,교통
電話,でんわ,전화,N5,명사,소통
戸,と,문,N5,명사,생활
遠い,とおい,멀다,N5,형용사,거리
時々,ときどき,때때로,N5,부사,시간
時計,とけい,시계,N5,명사,생활
所,ところ,곳/장소,N5,명사,장소
図書館,としょかん,도서관,N5,명사,시설
隣,となり,옆/이웃,N5,명사,위치
飛ぶ,とぶ,날다,N5,동사,이동
止まる,とまる,멈추다,N5,동사,상태
友達,ともだち,친구,N5,명사,사람
土曜日,どようび,토요일,N5,명사,시간
鳥,とり,새,N5,명사,동물
撮る,とる,(사진을) 찍다,N5,동사,동작
取る,とる,집다/취하다,N5,동사,동작
中,なか,안/속,N5,명사,위치
鳴く,なく,(동물이) 울다,N5,동사,소통
夏,なつ,여름,N5,명사,시간
名前,なまえ,이름,N5,명사,사람
習う,ならう,배우다,N5,동사,교육
並ぶ,ならぶ,늘어서다,N5,동사,상태
並べる,ならべる,늘어놓다,N5,동사,동작
西,にし,서쪽,N5,명사,방위
日曜日,にちようび,일요일,N5,명사,시간
荷物,にもつ,짐,N5,명사,생활
庭,にわ,마당/정원,N5,명사,장소
脱ぐ,ぬぐ,벗다,N5,동사,동작
寝る,ねる,자다,N5,동사,일상
登る,のぼる,오르다,N5,동사,이동
飲む,のむ,마시다,N5,동사,동작
乗る,のる,타다,N5,동사,이동
歯,は,이,N5,명사,신체
入る,はいる,들어가다,N5,동사,이동
始まる,はじまる,시작되다,N5,동사,상태
走る,はしる,달리다,N5,동사,이동
働く,はたらく,일하다,N5,동사,경제
鼻,はな,코,N5,명사,신체
話す,はなす,이야기하다,N5,동사,소통
早い,はやい,빠르다/이르다,N5,형용사,상태
春,はる,봄,N5,명사,시간
晴れる,はれる,(날씨가) 개다,N5,동사,날씨
半,はん,반(시간/수량),N5,명사,수량
晩,ばん,밤,N5,명사,시간
晩御飯,ばんごはん,저녁 식사,N5,명사,음식
番号,ばんごう,번호,N5,명사,생활
東,ひがし,동쪽,N5,명사,방위
引く,ひく,끌다/당기다,N5,동사,동작
弾く,ひく,(악기를) 타다/켜다,N5,동사,예술
低い,ひくい,낮다,N5,형용사,상태
飛行機,ひこうき,비행기,N5,명사,교통
左,ひだり,왼쪽,N5,명사,위치
人,ひと,사람,N5,명사,사람
一月,ひとつき,한 달,N5,명사,시간
一人,ひとり,한 명/혼자,N5,명사,사람
暇,ひま,한가함,N5,형용사,상태
百,ひゃく,백(100),N5,명사,숫자
病院,びょういん,병원,N5,명사,시설
病気,びょうき,병,N5,명사,신체
昼,ひる,낮,N5,명사,시간
昼御飯,ひるごはん,점심 식사,N5,명사,음식
広い,ひろい,넓다,N5,형용사,상태
封筒,ふうとう,봉투,N5,명사,생활
吹く,ふく,(바람이) 불다,N5,동사,자연
服,ふく,옷,N5,명사,의류
二つ,ふたつ,두 개,N5,명사,숫자
豚肉,ぶたにく,돼지고기,N5,명사,음식
二人,ふたり,두 명,N5,명사,사람
二日,ふつか,이틀/2일,N5,명사,시간
太い,ふとい,굵다,N5,형용사,상태
冬,ふゆ,겨울,N5,명사,시간
降る,ふる,"(비, 눈이) 내리다",N5,동사,날씨
古い,ふるい,오래되다/낡다,N5,형용사,상태
文章,ぶんしょう,문장,N5,명사,언어
下手,へた,서투름,N5,형용사,상태
部屋,へや,방,N5,명사,장소
辺,へん,근처/부근,N5,명사,위치
便利,べんり,편리함,N5,형용사,상태
帽子,ぼうし,모자,N5,명사,의류
星,ほし,별,N5,명사,자연
欲しい,ほしい,갖고 싶다,N5,형용사,감정
細い,ほそい,가늘다,N5,형용사,상태
本,ほん,책,N5,명사,도서
毎朝,まいあさ,매일 아침,N5,명사,시간
毎月,まいつき,매달,N5,명사,시간
毎週,まいしゅう,매주,N5,명사,시간
毎日,まいにち,매일,N5,명사,시간
毎年,まいねん,매년,N5,명사,시간
毎晩,まいばん,매일 밤,N5,명사,시간
前,まえ,앞/전,N5,명사,위치
曲がる,まがる,돌다/굽다,N5,동사,이동
不味い,まずい,맛없다,N5,형용사,음식
待つ,まつ,기다리다,N5,동사,동작
窓,まど,창문,N5,명사,시설
丸い,まるい,둥글다,N5,형용사,상태
万,まん,만(10000),N5,명사,숫자
磨く,みがく,닦다/갈고닦다,N5,동사,일상
右,みぎ,오른쪽,N5,명사,위치
短い,みじかい,짧다,N5,형용사,상태
水,みず,물,N5,명사,음식
店,みせ,가게,N5,명사,장소
見せる,みせる,보여주다,N5,동사,동작
道,みち,길,N5,명사,장소
三日,みっか,사흘/3일,N5,명사,시간
三つ,みっつ,세 개,N5,명사,숫자
緑,みどり,초록색,N5,명사,색상
見る,みる,보다,N5,동사,감각
南,みなみ,남쪽,N5,명사,방위
耳,みみ,귀,N5,명사,신체
皆,みんな,모두,N5,명사,사람
六日,むいか,엿새/6일,N5,명사,시간
向こう,むこう,건너편,N5,명사,위치
難しい,むずかしい,어렵다,N5,형용사,상태
六つ,むっつ,여섯 개,N5,명사,숫자
目,め,눈,N5,명사,신체
眼鏡,めがね,안경,N5,명사,생활
もしもし,もしもし,여보세요,N5,부사,소통
持つ,もつ,들다/가지다,N5,동사,동작
物,もの,물건,N5,명사,생활
門,もん,문,N5,명사,시설
問題,もんだい,문제,N5,명사,교육
八百屋,やおや,야채 가게,N5,명사,장소
休み,やすみ,휴식/휴일,N5,명사,시간
休む,やすむ,쉬다,N5,동사,일상
安い,やすい,싸다,N5,형용사,경제
野菜,やさい,야채,N5,명사,음식
易しい,やさしい,쉽다,N5,형용사,상태
優しい,やさしい,다정하다,N5,형용사,성격
安い,やすい,저렴하다,N5,형용사,경제
山,やま,산,N5,명사,자연
八日,ようか,여드레/8일,N5,명사,시간
八つ,やっつ,여덟 개,N5,명사,숫자
夕方,ゆうがた,저녁때,N5,명사,시간
夕飯,ゆうはん,저녁 식사,N5,명사,음식
郵便局,ゆうびんきょく,우체국,N5,명사,시설
有名,ゆうめい,유명함,N5,형용사,상태
雪,ゆき,눈,N5,명사,자연
ゆっくり,ゆっくり,천천히,N5,부사,상태
八日,ようか,8일,N5,명사,시간
洋服,ようふく,양복,N5,명사,의류
横,よこ,옆,N5,명사,위치
夜,よる,밤,N5,명사,시간
弱い,よわい,약하다,N5,형용사,상태
来月,らいげつ,다음 달,N5,명사,시간
来週,らいしゅう,다음 주,N5,명사,시간
来年,らいねん,내년,N5,명사,시간
ラジオ,らじお,라디오,N5,명사,가전
料理,りょうり,요리,N5,명사,음식
旅行,りょこう,여행,N5,명사,일상
冷蔵庫,れいぞうこ,냉장고,N5,명사,가전
練習,れんしゅう,연습,N5,명사,교육
廊下,ろうか,복도,N5,명사,시설
六,ろく,육(6),N5,명사,숫자
若い,わかい,젊다,N5,형용사,상태
分かる,わかる,알다/이해하다,N5,동사,정신
忘れる,わすれる,잊다,N5,동사,정신
渡す,わたす,건네주다,N5,동사,동작
渡る,わたる,건너다,N5,동사,이동
悪い,わるい,나쁘다,N5,형용사,상태
弟,おとうと,남동생,N5,명사,가족
覚える,おぼえる,외우다,N5,동사,정신
音楽,おんがく,음악,N5,명사,예술
片仮名,かたかな,가타카나,N5,명사,언어
喫茶店,きっさてん,카페,N5,명사,장소
消す,けす,끄다,N5,동사,동작
結構,けっこう,충분함,N5,형용사,상태
元気,げんき,건강함,N5,형용사,상태
寒い,さむい,춥다,N5,형용사,날씨
仕事,しごと,일,N5,명사,경제
辞書,じしょ,사전,N5,명사,도서
吸う,すう,피우다,N5,동사,동작
大変,たいへん,힘들다,N5,형용사,상태
出す,だす,꺼내다,N5,동사,동작
茶色い,ちゃいろい,갈색이다,N5,형용사,색상
出る,でる,나가다,N5,동사,이동
電気,でんき,전기,N5,명사,가전
電車,でんしゃ,전차,N5,명사,교통
所,ところ,장소,N5,명사,장소
隣,となり,옆,N5,명사,위치
撮る,とる,찍다,N5,동사,동작
取る,とる,집다,N5,동사,동작
話す,はなす,이야기하다,N5,동사,소통
晴れる,はれる,개다,N5,동사,날씨
半,はん,반,N5,명사,수량
弾く,ひく,(악기를) 타다,N5,동사,예술
吹く,ふく,불다,N5,동사,자연
二日,ふつか,이틀,N5,명사,시간
降る,ふる,내리다,N5,동사,날씨
古い,ふるい,오래되다,N5,형용사,상태
辺,へん,근처,N5,명사,위치
前,まえ,앞,N5,명사,위치
曲がる,まがる,돌다,N5,동사,이동
磨く,みがく,닦다,N5,동사,일상
三日,みっか,3일,N5,명사,시간
六日,むいか,6일,N5,명사,시간
安い,やすい,싸다,N5,형용사,경제
冷蔵庫,れいぞうこ,냉장고,N5,명사,가전
分かる,わかる,알다,N5,동사,정신
飴,あめ,사탕,N5,명사,음식
洗う,あらう,씻다,N5,동사,일상
歩く,あるく,걷다,N5,동사,이동
忙しい,いそがしい,바쁘다,N5,형용사,상태
歌,うた,노래,N5,명사,예술
絵,え,그림,N5,명사,예술
映画,えいが,영화,N5,명사,예술
映画館,えいがかん,영화관,N5,명사,시설
英語,えいご,영어,N5,명사,언어
お菓子,おかし,과자,N5,명사,음식
お金,おかね,돈,N5,명사,경제
方,かた,분(사람의 높임말),N5,명사,사람
切符,きっぷ,표,N5,명사,교통
九,きゅう,구(9),N5,명사,숫자
牛肉,ぎゅうにく,소고기,N5,명사,음식
今日,きょう,오늘,N5,명사,시간
教室,きょうしつ,교실,N5,명사,장소
兄弟,きょうだい,형제,N5,명사,가족
去年,きょねん,작년,N5,명사,시간
嫌い,きらい,싫어함,N5,형용사,감정
切る,きる,자르다,N5,동사,동작
着る,きる,입다,N5,동사,의류
銀行,ぎんこう,은행,N5,명사,시설
金曜日,きんようび,금요일,N5,명사,시간
薬,くすり,약,N5,명사,신체
果物,くだもの,과일,N5,명사,음식
口,くち,입,N5,명사,신체
靴,くつ,구두/신발,N5,명사,의류
靴下,くつした,양말,N5,명사,의류
国,くに,나라,N5,명사,장소
曇り,くもり,흐림,N5,명사,날씨
暗い,くらい,어둡다,N5,형용사,상태
元気,げんき,건강함,N5,형용사,상태
五,ご,오(5),N5,명사,숫자
言葉,ことば,말/단어,N5,명사,언어
さあ,さあ,자/어디,N5,감탄사,소통
作文,さくぶん,작문,N5,명사,교육
四,し/よん,사(4),N5,명사,숫자
地下鉄,ちかてつ,지하철,N5,명사,교통
出口,でぐち,출구,N5,명사,장소
遠い,とおい,멀다,N5,형용사,거리
