pattern,meaning,connection,jlpt level(only number),example1(japanes),example1(kroean),example1(english),example2(japanes),example2(kroean),example2(english),conversation_level(중요도 별 갯수),is_core
どっちがいい？,어느 쪽이 좋아?,会話[かいわ]で選択[せんたく],4.0,土曜[どよう]と日曜[にちよう]、どっちがいい？,"토요일이랑 일요일, 어느 쪽이 좋아?","Saturday or Sunday, which is better?",これとそれ、どっちがいい？,"이거랑 그거, 어느 게 좋아?","This or that, which do you want?",5.0,False
なるほど,그렇군요 / 이해했어요,会話[かいわ]リアクション,4.0,なるほど、そういうことね。,"그렇군, 그런 거구나.","I see, that's what it is.",なるほど。じゃあ、そうしよう。,알겠어. 그럼 그렇게 하자.,Got it. Let's do that.,5.0,False
なんで？,왜?,会話[かいわ]で理由[りゆう]を聞[き]く,4.0,なんで行[い]かないの？,왜 안 가?,Why aren't you going?,なんでそんなに急[いそ]ぐの？,왜 그렇게 급해?,Why are you in such a hurry?,5.0,True
へえ,오~,会話[かいわ]リアクション,4.0,へえ、面白[おもしろ]いね。,"오, 재미있네.","Oh, interesting.",へえ、そんなことがあるんだ。,"오, 그런 일이 있구나.","Wow, that happens.",4.0,False
まじで？,진짜?,会話[かいわ]リアクション,4.0,まじで？本当[ほんとう]？,진짜? 정말?,Seriously? For real?,まじで？それはすごい。,진짜? 그거 대단하네.,No way? That's amazing.,5.0,False
もう一回[いっかい],한 번 더,会話[かいわ]でお願い,4.0,もう一回[いっかい]言[い]って。,한 번 더 말해줘.,Say it one more time.,もう一回[いっかい]送[おく]ってくれる？,한 번 더 보내줄래?,Can you send it again?,5.0,False
もし～なら,만약 ~라면,もし + 文[ぶん] + なら,4.0,もし時間[じかん]があるなら会[あ]おう。,만약 시간 있으면 만나자.,"If you have time, let's meet.",もし無理[むり]なら大丈夫[だいじょうぶ]。,무리면 괜찮아.,"If it's not possible, it's okay.",5.0,True
よかった,다행이다,会話[かいわ]リアクション,4.0,よかった。安心[あんしん]した。,다행이다. 안심했어.,Good. I'm relieved.,間[ま]に合[あ]ってよかったね。,시간 맞춰서 다행이다.,Good thing you made it in time.,5.0,False
わかった,알겠어,会話[かいわ]リアクション,4.0,わかった、任[まか]せて。,"알겠어, 맡겨.","Got it, leave it to me.",わかったよ。,알겠어.,Okay.,5.0,True
大変[たいへん]だね,힘들겠다,会話[かいわ]リアクション,4.0,それは大変[たいへん]だね。,그건 힘들겠다.,That sounds hard.,毎日[まいにち]は大変[たいへん]だね。,매일은 힘들겠다.,That must be tough every day.,5.0,False
本当[ほんとう]に？,진짜로?,会話[かいわ]リアクション,4.0,本当[ほんとう]に？信[しん]じられない。,진짜야? 믿기 힘들어.,Really? I can't believe it.,本当[ほんとう]に？すごいね。,진짜야? 대단하네.,Really? That's amazing.,5.0,True
～いくら,얼마,いくら,5.0,これ、いくらですか？,이거 얼마예요?,How much is this?,全部[ぜんぶ]でいくらですか？,전부 얼마예요?,How much is it in total?,5.0,False
～おかげで,~덕분에,名詞[めいし]/文[ぶん] + おかげで,4.0,君[きみ]のおかげで助[たす]かった。,네 덕분에 살았어.,"Thanks to you, it helped.",天気[てんき]のおかげで楽[たの]しかった。,날씨 덕분에 즐거웠어.,"Thanks to the weather, it was fun.",5.0,False
～かな,~일까?,文[ぶん] + かな,4.0,大丈夫[だいじょうぶ]かな。,괜찮을까.,I wonder if it's okay.,行[い]こうかな。,갈까.,Maybe I'll go.,5.0,True
～かなと思[おも]って,~일까 해서,文[ぶん] + かなと思[おも]って,4.0,今日[きょう]はやめようかなと思[おも]って。,오늘은 그만할까 해서.,I was thinking of stopping today.,連絡[れんらく]しようかなと思[おも]って。,연락할까 해서.,I was thinking of messaging.,4.0,True
～かも,~일지도,文[ぶん] + かも,4.0,雨[あめ]かも。,비일지도.,It might rain.,遅[おく]れるかも。,늦을지도 몰라.,I might be late.,5.0,True
～から,~이기 때문에,문장 + から,5.0,雨[あめ]ですから、行[い]きません。,비가 와서 안 가요.,I'm not going because it's raining.,忙[いそが]しいから、後[あと]で。,바빠서 나중에.,"Because I'm busy, later.",5.0,True
～からさ,~라서 말인데 (구어 이유),文[ぶん] + からさ,4.0,忙[いそが]しいからさ、今日は無理[むり]。,"바쁘니까, 오늘은 무리야.","I'm busy, so today won't work.",遠[とお]いからさ、また今度[こんど]ね。,"멀어서, 다음에 하자.","It's far, so maybe next time.",4.0,False
～からなんだけど,~라서 말인데,文[ぶん] + からなんだけど,4.0,急[いそ]いでるからなんだけど、先[さき]に行[い]くね。,급해서 먼저 갈게.,"I'm in a hurry, so I'll go ahead.",ちょっと聞[き]きたいからなんだけど。,좀 물어보고 싶은데.,I wanted to ask something.,4.0,False
～が,하지만 / 그리고,문장 + が,5.0,行[い]きたいですが、時間[じかん]がないです。,가고 싶지만 시간이 없어요.,"I want to go, but I don't have time.",安[やす]いですが、おいしいです。,싸지만 맛있어요.,"It's cheap, but tasty.",5.0,False
～ことにする,~하기로 하다 (결정),文[ぶん] + ことにする,4.0,今日[きょう]は早[はや]く帰[かえ]ることにする。,오늘은 일찍 가기로 했어.,I've decided to go home early.,旅行[りょこう]は来月[らいげつ]にすることにした。,여행은 다음 달로 하기로 했어.,I decided to do the trip next month.,5.0,False
～じゃん,~잖아 (강조/확인),문장 + じゃん,5.0,それ、いいじゃん。,그거 좋잖아.,"That's good, right?",もう終[お]わったじゃん。,이미 끝났잖아.,It's already done.,5.0,False
～せいで,~때문에 (부정),名詞[めいし]/文[ぶん] + せいで,4.0,雨[あめ]のせいで遅[おく]れた。,비 때문에 늦었어.,I was late because of the rain.,彼[かれ]のせいで失敗[しっぱい]した。,그 사람 때문에 실패했어.,I failed because of him.,4.0,False
～そうです,~인 것 같다 (보이는 상태),형용사/동사 ます형 어간 + そうです,5.0,おいしそうですね。,맛있어 보이네요.,It looks tasty.,雨[あめ]が降[ふ]りそうです。,비 올 것 같아요.,It looks like it will rain.,5.0,False
～たいです,~하고 싶다,동사 ます형 + たいです,5.0,日本語[にほんご]を話[はな]したいです。,일본어를 말하고 싶어요.,I want to speak Japanese.,今日[きょう]は早[はや]く帰[かえ]りたいです。,오늘은 빨리 가고 싶어요.,I want to go home early.,5.0,True
～ため,~때문에 (짧게),名詞[めいし]/動詞[どうし]辞書形[じしょけい] + ため,4.0,雨[あめ]のため中止[ちゅうし]。,비로 인해 취소.,Canceled due to rain.,事故[じこ]のため遅[おく]れます。,사고로 늦습니다.,I'll be late due to an accident.,4.0,False
～ために,~하기 위해,動詞[どうし]辞書形[じしょけい] + ために,4.0,日本語[にほんご]を勉強[べんきょう]するために来[き]た。,일본어 공부하려고 왔어.,I came to study Japanese.,健康[けんこう]のために運動[うんどう]する。,건강을 위해 운동해.,I exercise for my health.,5.0,False
～たら,~하면 / ~했을 때,動詞[どうし]た形[けい] + ら,4.0,終[お]わったら連絡[れんらく]して。,끝나면 연락해.,Contact me when you're done.,着[つ]いたら教[おし]えて。,도착하면 알려줘.,Let me know when you arrive.,5.0,True
～だから,~니까,文[ぶん] + だから,4.0,忙[いそが]しいだから無理[むり]。,바쁘니까 무리야.,"I'm busy, so I can't.",今日[きょう]は休[やす]みだから。,오늘은 쉬는 날이니까.,Because today is a day off.,5.0,True
～だったら,~라면 (회화형 조건),文[ぶん] + だったら,4.0,雨[あめ]だったら家[いえ]にいよう。,비면 집에 있자.,"If it rains, let's stay home.",無理[むり]だったら言[い]って。,무리면 말해줘.,"If it's impossible, tell me.",5.0,True
～ちょっと,조금 / 좀…,부사,5.0,ちょっと高[たか]いです。,좀 비싸요.,It's a bit expensive.,今日[きょう]はちょっと忙[いそが]しいです。,오늘은 좀 바빠요.,I'm a bit busy today.,5.0,False
～って,~라고 (인용/주제),문장 + って,5.0,明日[あした]休[やす]みだって。,내일 쉰대.,They said tomorrow is off.,それって本当[ほんとう]？,그게 진짜야?,Is that true?,5.0,False
～っていう理由[りゆう]で,~라는 이유로,文[ぶん] + っていう理由[りゆう]で,4.0,時間[じかん]がないっていう理由[りゆう]で断[ことわ]った。,시간 없다는 이유로 거절했어.,I declined saying I had no time.,体調[たいちょう]が悪[わる]いっていう理由[りゆう]で休[やす]んだ。,컨디션 안 좋다는 이유로 쉬었어.,I took a day off saying I felt unwell.,4.0,False
～ってことで,~라는 이유로 / 그래서,文[ぶん] + ってことで,4.0,忙[いそが]しいってことで欠席[けっせき]します。,바쁘다는 이유로 결석할게.,I'll be absent due to being busy.,じゃあ、また今度[こんど]ってことで。,그럼 다음에 하는 걸로.,Let's do it next time.,5.0,False
～ってことは,~라는 건… (추론/정리),文[ぶん] + ってことは,4.0,今[いま]の話[はなし]ってことは、来週[らいしゅう]は無理[むり]？,지금 말로는 다음 주는 무리야?,"So, that means next week won't work?",終[お]わったってことは、もう帰[かえ]った？,"끝났다는 건, 벌써 갔어?",So that means they're already gone?,5.0,True
～って感[かん]じ,~라는 느낌,文[ぶん] + って感[かん]じ,4.0,まあ、そんな感[かん]じ。,뭐 그런 느낌이야.,"Yeah, something like that.",とりあえず行[い]くって感[かん]じ。,일단 가는 느낌.,"For now, let's go.",5.0,True
～って感[かん]じで,~라는 느낌으로,文[ぶん] + って感[かん]じで,4.0,とりあえず行[い]くって感[かん]じで。,일단 가는 느낌으로.,"For now, let's just go—something like that.",まあ、そんな感[かん]じで大丈夫[だいじょうぶ]。,"뭐, 그런 느낌이면 괜찮아.","Yeah, that kind of vibe is fine.",5.0,False
～って感じ,~같은 느낌,문장 + って感じ,5.0,まあ、そんな感じ。,뭐 그런 느낌.,"Yeah, something like that.",初心者[しょしんしゃ]って感じ。,초보 같은 느낌.,Feels like a beginner.,5.0,False
～って理由[りゆう]で,~라는 이유로,文[ぶん] + って理由[りゆう]で,4.0,時間[じかん]がないって理由[りゆう]で断[ことわ]った。,시간 없다는 이유로 거절했어.,I declined saying I had no time.,体調[たいちょう]が悪[わる]いって理由[りゆう]で休[やす]んだ。,컨디션 안 좋다는 이유로 쉬었어.,I took a day off for health reasons.,4.0,False
～っぽい,~같아 보이다,名詞[めいし]/形容詞[けいようし] + っぽい,4.0,今日[きょう]は風邪[かぜ]っぽい。,오늘 감기 기운이 있어.,I feel like I'm catching a cold.,子[こ]どもっぽいね。,애같네.,Kind of childish.,4.0,True
～つい,무심코 / 나도 모르게,副詞[ふくし],4.0,つい食[た]べすぎた。,나도 모르게 너무 먹었어.,I ate too much without thinking.,つい言[い]ってしまった。,무심코 말해버렸어.,I said it without meaning to.,5.0,False
～つもりだ,~할 생각이다,動詞[どうし]辞書形[じしょけい] + つもりだ,4.0,来週[らいしゅう]行[い]くつもりだ。,다음 주에 갈 생각이야.,I plan to go next week.,今日[きょう]は早[はや]く帰[かえ]るつもり。,오늘은 일찍 갈 생각이야.,I plan to go home early today.,5.0,False
～てあげる,~해 주다 (내가 → 상대),動詞[どうし]て形[けい] + あげる,4.0,私[わたし]が手伝[てつだ]ってあげる。,내가 도와줄게.,I'll help you.,説明[せつめい]してあげる。,설명해 줄게.,I'll explain it to you.,5.0,False
～ている,~하고 있다,동사 て형 + いる,5.0,今[いま]、勉強[べんきょう]しています。,지금 공부하고 있어요.,I'm studying now.,何[なに]をしていますか。,뭐 하고 있어요?,What are you doing?,5.0,True
～ておく,~미리 ~하다,動詞[どうし]て形[けい] + おく,4.0,先[さき]に予約[よやく]しておく。,미리 예약해 둘게.,I'll make a reservation in advance.,飲[の]み物[もの]を買[か]っておいた。,마실 걸 미리 사뒀어.,I bought drinks in advance.,5.0,False
～てください,~해주세요,동사 て형 + ください,5.0,ちょっと待[ま]ってください。,잠깐만 기다려 주세요.,Please wait a moment.,ゆっくり話[はな]してください。,천천히 말해 주세요.,Please speak slowly.,5.0,True
～てくる,~하고 오다 / 변화,動詞[どうし]て形[けい] + くる,4.0,ちょっと見[み]てくる。,잠깐 보고 올게.,I'll go take a look.,雨[あめ]が降[ふ]ってきた。,비가 오기 시작했어.,It started raining.,5.0,False
～てくれる？,~해줄래?,동사 て형 + くれる？,5.0,ちょっと待[ま]ってくれる？,잠깐 기다려줄래?,Can you wait a moment?,教[おし]えてくれる？,가르쳐줄래?,Can you tell me?,5.0,False
～てしまう,~해버리다 / 완료,動詞[どうし]て形[けい] + しまう,4.0,忘[わす]れてしまった。,깜빡 잊어버렸어.,I completely forgot.,全部[ぜんぶ]食[た]べてしまった。,전부 먹어버렸어.,I ate it all.,5.0,False
～てほしい,~해줬으면 하다,動詞[どうし]て形[けい] + ほしい,4.0,早[はや]く返事[へんじ]してほしい。,빨리 답장해줬으면 해.,I want you to reply quickly.,静[しず]かにしてほしい。,조용히 해줬으면 해.,I want you to be quiet.,5.0,False
～てみる,~시험 삼아 ~하다,動詞[どうし]て形[けい] + みる,4.0,一度[いちど]食[た]べてみる。,한 번 먹어볼게.,I'll try eating it.,日本語[にほんご]で話[はな]してみて。,일본어로 말해봐.,Try speaking in Japanese.,5.0,False
～てもいいですか,~해도 돼요?,동사 て형 + もいいですか,5.0,ここに座[すわ]ってもいいですか。,여기 앉아도 될까요?,May I sit here?,写真[しゃしん]を撮[と]ってもいいですか。,사진 찍어도 돼요?,Can I take a photo?,5.0,False
～てもらう,~해 달라고 하다,動詞[どうし]て形[けい] + もらう,4.0,友[とも]だちに見[み]てもらった。,친구에게 봐 달라고 했어.,I had my friend check it.,先生[せんせい]に教[おし]えてもらう。,선생님께 가르쳐 달라고 할게.,I'll ask the teacher to teach me.,5.0,False
～てもらえる？,~해줄 수 있어?,동사 て형 + もらえる？,5.0,手伝[てつだ]ってもらえる？,도와줄 수 있어?,Can you help me?,見[み]てもらえる？,봐줄 수 있어?,Can you check it?,5.0,False
～てる,~하고 있어 (구어),～ている → ～てる,5.0,今[いま]、何[なに]してる？,지금 뭐 하고 있어?,What are you doing now?,テレビ見[み]てる。,TV 보고 있어.,I'm watching TV.,5.0,True
～でいい,~로 하면 돼,명사 + でいい,5.0,これでいい？,이걸로 돼?,Is this okay?,コーヒーでいいです。,커피로 할게요.,Coffee is fine.,5.0,False
～ですか,~입니까? (의문),문장 + ですか,5.0,それは本当[ほんとう]ですか？,그거 진짜예요?,Is that true?,今[いま]、大丈夫[だいじょうぶ]ですか？,지금 괜찮아요?,Are you okay now?,5.0,True
～でもいい？,~라도 괜찮아?,명사 + でもいい？,5.0,今[いま]でもいい？,지금이라도 괜찮아?,Is now okay?,これでもいい？,이거라도 괜찮아?,Is this okay too?,5.0,False
～と,~하면 (자연 결과),動詞[どうし]辞書形[じしょけい] + と,4.0,押[お]すと動[うご]く。,누르면 움직여.,"If you push it, it moves.",春[はる]になると暖[あたた]かい。,봄이 되면 따뜻해.,"When spring comes, it's warm.",4.0,False
～とかどう？,~같은 건 어때?,명사 + とかどう？,5.0,映画[えいが]とかどう？,영화 같은 건 어때?,How about a movie?,土曜[どよう]とかどうですか？,토요일 같은 건 어때요?,How about Saturday?,5.0,False
～としたら,~라고 가정하면,文[ぶん] + としたら,4.0,今[いま]行[い]くとしたら何時[なんじ]？,지금 가면 몇 시야?,"If we go now, what time?",それが本当[ほんとう]だとしたら大変[たいへん]。,그게 진짜라면 큰일이야.,"If that's true, it's serious.",4.0,True
～と思[おも]う,~라고 생각하다,文[ぶん] + と思[おも]う,4.0,それはいいと思[おも]う。,그건 좋다고 생각해.,I think that's good.,彼[かれ]も来[く]ると思[おも]う。,그도 올 거라고 생각해.,I think he'll come.,5.0,True
～どうですか,어때요?,どうですか,5.0,この映画[えいが]はどうですか？,이 영화 어때요?,How is this movie?,今日[きょう]はどうですか？,오늘 어때요?,How is today?,5.0,False
～どれ,어느 것,どれ,5.0,どれが好[す]きですか？,어느 게 좋아요?,Which one do you like?,どれにしますか？,어느 걸로 할래요?,Which will you choose?,5.0,False
～ないなら,~안 하면,動詞[どうし]ない形[けい] + なら,4.0,行[い]かないなら先[さき]に帰[かえ]る。,안 갈 거면 먼저 갈게.,"If you're not going, I'll go first.",無理[むり]しないなら大丈夫[だいじょうぶ]。,무리 안 하면 괜찮아.,"If you don't push yourself, it's fine.",4.0,True
～なら,~라면 (상대 말 받아 조건),文[ぶん]/名詞[めいし] + なら,4.0,土曜[どよう]なら行[い]けるよ。,토요일이면 갈 수 있어.,"If it's Saturday, I can go.",それなら大丈夫[だいじょうぶ]。,그렇다면 괜찮아.,"In that case, it's fine.",5.0,True
～ならどうする？,~라면 어떻게 할래?,文[ぶん] + ならどうする,4.0,君[きみ]だったらどうする？,너라면 어떻게 할래?,What would you do?,雨[あめ]ならどうする？,비면 어떻게 할 거야?,What if it rains?,5.0,True
～ね,~죠 / 그렇죠?,문장 + ね,5.0,今日[きょう]は暑[あつ]いですね。,오늘 덥네요.,"It's hot today, right?",この店[みせ]、いいですね。,이 가게 좋네요.,"This place is nice, right?",5.0,True
～ので,~해서/때문에 (부드러운 이유),文[ぶん] + ので,4.0,今日[きょう]は忙[いそが]しいので、また後[あと]で。,"오늘 바빠서, 나중에.","I'm busy today, so later.",雨[あめ]なので、家[いえ]にいます。,비라서 집에 있어.,"It's raining, so I'm staying home.",5.0,True
～のでしょうか,~인 걸까요? (완곡 질문),文[ぶん] + のでしょうか,4.0,これで大丈夫[だいじょうぶ]なのでしょうか。,이거 괜찮을까요?,I wonder if this is okay.,今[いま]行[い]ってもいいのでしょうか。,지금 가도 될까요?,Would it be okay to go now?,4.0,False
～のは,~한 건,文[ぶん] + のは,4.0,来[こ]なかったのは雨[あめ]だから。,안 온 건 비 때문이야.,The reason I didn't come is because it rained.,遅[おく]れたのは事故[じこ]だ。,늦은 건 사고 때문이야.,The reason I was late was an accident.,4.0,False
～ば,~하면 (조건),動詞[どうし]ば形[けい],4.0,安[やす]ければ買[か]う。,싸면 살게.,"If it's cheap, I'll buy it.",時間[じかん]があれば行[い]く。,시간 있으면 갈게.,"If I have time, I'll go.",4.0,False
～ました,~했습니다 (과거),동사 ます형 + ました,5.0,昨日[きのう]映画[えいが]を見[み]ました。,어제 영화를 봤어요.,I watched a movie yesterday.,さっき帰[かえ]りました。,방금 돌아왔어요.,I just got back.,5.0,True
～ます,~합니다 (정중),동사 ます형,5.0,毎日[まいにち]コーヒーを飲[の]みます。,매일 커피를 마셔요.,I drink coffee every day.,後[あと]で連絡[れんらく]します。,나중에 연락할게요.,I'll contact you later.,5.0,True
～ません,~하지 않습니다,동사 ます형 + ません,5.0,今日[きょう]は行[い]きません。,오늘은 안 가요.,I'm not going today.,肉[にく]は食[た]べません。,고기는 안 먹어요.,I don't eat meat.,5.0,True
～まだ,아직,부사,5.0,まだ来[き]ていません。,아직 안 왔어요.,They haven’t come yet.,まだ大丈夫[だいじょうぶ]です。,아직 괜찮아요.,It's still okay.,5.0,True
～みたい,~인 것 같다,文[ぶん] + みたい,4.0,彼[かれ]は来[こ]ないみたい。,그는 안 올 것 같아.,Seems like he won't come.,雨[あめ]みたい。,비인 것 같아.,Looks like rain.,4.0,False
～みたいです,~인 것 같다 (추측),문장 + みたいです,5.0,彼[かれ]は来[こ]ないみたいです。,그는 안 올 것 같아요.,It seems he won't come.,疲[つか]れたみたいです。,피곤한 것 같아요.,They look tired.,5.0,False
～みたいな感[かん]じ,~같은 느낌,文[ぶん] + みたいな感[かん]じ,4.0,大丈夫[だいじょうぶ]みたいな感[かん]じ。,괜찮은 느낌이야.,It feels like it's okay.,終[お]わったみたいな感[かん]じだね。,끝난 느낌이네.,It feels like it's over.,4.0,False
～もう,이미 / 벌써,부사,5.0,もう食[た]べました。,이미 먹었어요.,I already ate.,もう帰[かえ]ります。,이제 갈게요.,I'm leaving now.,5.0,True
～よ,~야 / ~거든,문장 + よ,5.0,これ、おいしいですよ。,이거 맛있어요.,This is good.,明日[あした]は休[やす]みですよ。,내일 쉬는 날이에요.,Tomorrow is a day off.,5.0,True
～ようかな,~할까 (부드러운 결정),동사 사전형 + ようかな,5.0,帰[かえ]ろうかな。,갈까.,Maybe I'll go home.,聞[き]いてみようかな。,물어볼까.,Maybe I'll ask.,5.0,False
～ようと思[おも]う,~하려고 생각하다,動詞[どうし]意向形[いこうけい] + と思[おも]う,4.0,早[はや]く寝[ね]ようと思[おも]う。,일찍 자려고 해.,I think I'll sleep early.,明日[あした]行[い]こうと思[おも]う。,내일 가려고 해.,I think I'll go tomorrow.,5.0,False
～ような感[かん]じ,~같은 느낌,文[ぶん] + ような感[かん]じ,4.0,大丈夫[だいじょうぶ]な感[かん]じ。,괜찮은 느낌이야.,Feels okay.,終[お]わったような感[かん]じ。,끝난 느낌이야.,Feels finished.,4.0,True
～ようにする,~하려고 하다 / 습관으로 하다,動詞[どうし]辞書形[じしょけい] + ようにする,4.0,毎日[まいにち]運動[うんどう]するようにしている。,매일 운동하려고 해.,I try to exercise every day.,早[はや]く寝[ね]るようにする。,일찍 자려고 해.,I try to go to bed early.,5.0,False
～ようになる,~할 수 있게 되다,動詞[どうし]辞書形[じしょけい] + ようになる,4.0,日本語[にほんご]が分[わ]かるようになった。,일본어를 알게 됐어.,I've come to understand Japanese.,早[はや]く起[お]きられるようになった。,일찍 일어날 수 있게 됐어.,I can wake up early now.,5.0,False
～らしい,~인 것 같다 (전언/추정),文[ぶん] + らしい,4.0,忙[いそが]しいらしい。,바쁜 것 같아.,Seems busy.,彼[かれ]は学生[がくせい]らしい。,학생인 것 같아.,Seems like a student.,4.0,False
～わけだ,~인 셈이다,文[ぶん] + わけだ,4.0,そういうわけだ。,그래서 그런 거구나.,That explains it.,忙[いそが]しいわけだ。,바쁜 게 당연하네.,That makes sense.,5.0,False
～場合[ばあい]は,~인 경우에는,文[ぶん]/名詞[めいし] + の + 場合[ばあい]は,4.0,遅[おく]れる場合[ばあい]は連絡[れんらく]して。,늦을 경우 연락해.,"If you're late, contact me.",行[い]けない場合[ばあい]は教[おし]えて。,못 갈 경우 알려줘.,"If you can't go, let me know.",4.0,True
～気[き]がする,~인 느낌이 든다,文[ぶん] + 気[き]がする,4.0,雨[あめ]が降[ふ]りそうな気[き]がする。,비 올 것 같은 느낌이 들어.,I feel like it might rain.,なんか変[へん]な気[き]がする。,뭔가 이상한 느낌이 들어.,I have a weird feeling.,5.0,True
～理由[りゆう]は,~이유는,文[ぶん] + 理由[りゆう]は,4.0,来[こ]ない理由[りゆう]は時間[じかん]がないから。,안 오는 이유는 시간이 없어서야.,The reason I'm not coming is I have no time.,理由[りゆう]は簡単[かんたん]だ。,이유는 간단해.,The reason is simple.,4.0,False
